geo,pop17,pop18,births,deaths
Belgium ,11351727,11413058,119690,109666
Bulgaria,7101859,7050034,63955,109791
Czechia,10578820,10610055,114405,111443
Denmark,5748769,5781190,61397,53261
Germany,82521653,82850000,785000,933000
Estonia ,1315634,1319133,13784,15543
Ireland,4784383,4838259,62084,30324
Greece,10768193,10738868,88523,124530
Spain,46527039,46659302,390024,421269
France ,66989083,67221943,767691,603141
Croatia,4154212,4105493,36556,53477
Italy,60589445,60483973,458151,649061
Cyprus,854802,864236,9229,5997
Latvia,1950116,1934379,20828,28757
Lithuania,2847904,2808901,28696,40142
Luxembourg,590667,602005,6174,4263
Hungary,9797561,9778371,94646,131877
Malta,460297,475701,4319,3571
Netherlands,17081507,17181084,169200,150027
Austria,8772865,8822267,87633,83270
Poland,37972964,37976687,401982,402852
Portugal,10309573,10291027,86154,109586
Romania,19644350,19523621,189474,260599
Slovenia,2065895,2066880,20241,20509
Slovakia,5435343,5443120,57969,53914
Finland,5503297,5513130,50321,53722
Sweden,9995153,10120242,115416,91972
United Kingdom,65808573,66238007,755043,607172
